,Currency,Name,Units per EUR,EUR per unit,Date
0,USD,US Dollar,0.9965737302991436,1.0034380493852952,2022-08-28
1,EUR,Euro,1.0,1.0,2022-08-28
2,GBP,British Pound,0.8487201985434245,1.1782446107871618,2022-08-28
3,INR,Indian Rupee,79.7182352948617,0.0125441813444715,2022-08-28
4,AUD,Australian Dollar,1.4440358596228635,0.692503578312223,2022-08-28
5,CAD,Canadian Dollar,1.3001971019717984,0.7691141585252436,2022-08-28
6,SGD,Singapore Dollar,1.3883976143853192,0.7202547668181689,2022-08-28
7,CHF,Swiss Franc,0.9622695231503182,1.03920988448866,2022-08-28
8,MYR,Malaysian Ringgit,4.452572318335488,0.2245892775019163,2022-08-28
9,JPY,Japanese Yen,137.11417799866416,0.0072931918098925,2022-08-28
10,CNY,Chinese Yuan Renminbi,6.839537669200143,0.1462087129811723,2022-08-28
11,NZD,New Zealand Dollar,1.6244787377637486,0.615582079810165,2022-08-28
12,THB,Thai Baht,36.09226951283609,0.0277067641768648,2022-08-28
13,HUF,Hungarian Forint,411.659374417629,0.0024291928282082,2022-08-28
14,AED,Emirati Dirham,3.659917024523605,0.2732302380899374,2022-08-28
15,HKD,Hong Kong Dollar,7.819815425925228,0.1278802561866966,2022-08-28
16,MXN,Mexican Peso,19.87562025326433,0.0503128952584894,2022-08-28
17,ZAR,South African Rand,16.827665767063202,0.059425948544646,2022-08-28
18,PHP,Philippine Peso,55.99514575223152,0.0178586909019724,2022-08-28
19,SEK,Swedish Krona,10.645565745422925,0.093935824916581,2022-08-28
20,IDR,Indonesian Rupiah,14780.7134328531,6.76557328942e-05,2022-08-28
21,BRL,Brazilian Real,5.04705795522158,0.1981352322228479,2022-08-28
22,SAR,Saudi Arabian Riyal,3.7371514886217887,0.2675834798360787,2022-08-28
23,TRY,Turkish Lira,18.10507119158788,0.0552331437649705,2022-08-28
24,KES,Kenyan Shilling,119.49127892875204,0.008368811589976,2022-08-28
25,KRW,South Korean Won,1337.6471659003084,0.0007475812945986,2022-08-28
26,EGP,Egyptian Pound,19.13629719980479,0.0522567134884485,2022-08-28
27,IQD,Iraqi Dinar,1454.6907946829742,0.0006874313109391,2022-08-28
28,NOK,Norwegian Krone,9.773105260856552,0.1023216238144104,2022-08-28
29,KWD,Kuwaiti Dinar,0.3065987850297313,3.261591528821709,2022-08-28
30,RUB,Russian Ruble,60.302564862830856,0.0165830425666749,2022-08-28
31,DKK,Danish Krone,7.43954527973804,0.1344168174799,2022-08-28
32,PKR,Pakistani Rupee,219.71260596624293,0.0045514002057471,2022-08-28
33,ILS,Israeli Shekel,3.2475727115538104,0.3079222819068297,2022-08-28
34,PLN,Polish Zloty,4.736404322190677,0.2111306239872446,2022-08-28
35,QAR,Qatari Riyal,3.627528378288883,0.275669793787169,2022-08-28
36,XAU,Gold Ounce,0.0005733828827804,1744.0353209547525,2022-08-28
37,OMR,Omani Rial,0.3836810792369681,2.606331284275768,2022-08-28
38,COP,Colombian Peso,4386.020653020461,0.0002279971024102,2022-08-28
39,CLP,Chilean Peso,889.5739686728293,0.0011241336136352,2022-08-28
40,TWD,Taiwan New Dollar,30.219132198834423,0.0330916186944167,2022-08-28
41,ARS,Argentine Peso,137.23986316636737,0.0072865126569512,2022-08-28
42,CZK,Czech Koruna,24.62219493024917,0.0406137634290055,2022-08-28
43,VND,Vietnamese Dong,23336.772708945824,4.28508265676e-05,2022-08-28
44,MAD,Moroccan Dirham,10.551647321217082,0.0947719317711857,2022-08-28
45,JOD,Jordanian Dinar,0.7065707747820928,1.4152863884136746,2022-08-28
46,BHD,Bahraini Dinar,0.374711722592478,2.668718216450253,2022-08-28
47,XOF,CFA Franc,655.957,0.0015244901723741,2022-08-28
48,LKR,Sri Lankan Rupee,360.6363231442264,0.002772876540226,2022-08-28
49,UAH,Ukrainian Hryvnia,36.798227879474815,0.0271752216784813,2022-08-28
50,NGN,Nigerian Naira,420.7229677808119,0.0023768609669082,2022-08-28
51,TND,Tunisian Dinar,3.1678349744194514,0.3156730095080989,2022-08-28
52,UGX,Ugandan Shilling,3779.61872818168,0.0002645769512527,2022-08-28
53,RON,Romanian Leu,4.864030431976694,0.2055908189689532,2022-08-28
54,BDT,Bangladeshi Taka,94.80087333302556,0.0105484260307086,2022-08-28
55,PEN,Peruvian Sol,3.808985439960804,0.2625371022710683,2022-08-28
56,GEL,Georgian Lari,2.8582792166503896,0.3498608513033578,2022-08-28
57,XAF,Central African CFA Franc BEAC,655.957,0.0015244901723741,2022-08-28
58,FJD,Fijian Dollar,2.213596715014408,0.4517534712701682,2022-08-28
59,VEF,Venezuelan Bolívar,778894.7463456094,1.2838705161e-06,2022-08-28
60,VES,Venezuelan Bolívar,7.788947463456094,0.1283870516127839,2022-08-28
61,BYN,Belarusian Ruble,2.51636433899183,0.3973987329675183,2022-08-28
62,HRK,Croatian Kuna,7.515159550843963,0.1330643738478844,2022-08-28
63,UZS,Uzbekistani Som,10892.55250877222,9.18058461682e-05,2022-08-28
64,BGN,Bulgarian Lev,1.95583,0.5112918811962185,2022-08-28
65,DZD,Algerian Dinar,140.65457963756845,0.0071096156454823,2022-08-28
66,IRR,Iranian Rial,41881.4243523582,2.38769338785e-05,2022-08-28
67,DOP,Dominican Peso,52.888343406168346,0.018907758035079,2022-08-28
68,ISK,Icelandic Krona,140.71776447120664,0.007106423298848,2022-08-28
69,CRC,Costa Rican Colon,635.9514260716825,0.0015724471382619,2022-08-28
70,XAG,Silver Ounce,0.0527101598009922,18.971674602685887,2022-08-28
71,SYP,Syrian Pound,2503.928934595553,0.0003993723568522,2022-08-28
72,JMD,Jamaican Dollar,148.83610268776178,0.0067187999547251,2022-08-28
73,LYD,Libyan Dinar,4.894103511814386,0.2043275132178949,2022-08-28
74,GHS,Ghanaian Cedi,9.818561935284048,0.1018479087458208,2022-08-28
75,MUR,Mauritian Rupee,44.34739130247928,0.0225492406797802,2022-08-28
76,AOA,Angolan Kwanza,427.1546632766728,0.0023410724170235,2022-08-28
77,UYU,Uruguayan Peso,40.31129403812988,0.0248069436583731,2022-08-28
78,AFN,Afghan Afghani,88.17812264185437,0.0113406814529451,2022-08-28
79,LBP,Lebanese Pound,1502.334898425959,0.0006656305468559,2022-08-28
80,XPF,CFP Franc,119.331742243,0.0083800000000306,2022-08-28
81,TTD,Trinidadian Dollar,6.770151838717079,0.1477071746428506,2022-08-28
82,TZS,Tanzanian Shilling,2322.4992166060497,0.0004305706511545,2022-08-28
83,ALL,Albanian Lek,117.14483636518705,0.0085364411358482,2022-08-28
84,XCD,East Caribbean Dollar,2.6907491469349343,0.3716437116180497,2022-08-28
85,GTQ,Guatemalan Quetzal,7.708582623166213,0.1297255343666876,2022-08-28
86,NPR,Nepalese Rupee,127.60896514824984,0.0078364400090405,2022-08-28
87,BOB,Bolivian Bolíviano,6.911122959129952,0.1446942857063407,2022-08-28
88,ZWD,Zimbabwean Dollar,360.66003299526005,0.0027726942508574,2022-08-28
89,BBD,Barbadian or Bajan Dollar,1.9931474605982875,0.5017190246926476,2022-08-28
90,CUC,Cuban Convertible Peso,0.9965737302991436,1.0034380493852952,2022-08-28
91,LAK,Lao Kip,15279.798765749205,6.5445888086e-05,2022-08-28
92,BND,Bruneian Dollar,1.3883976143853192,0.7202547668181689,2022-08-28
93,BWP,Botswana Pula,12.714609640633922,0.0786496816075387,2022-08-28
94,HNL,Honduran Lempira,24.37762984356296,0.0410212152049742,2022-08-28
95,PYG,Paraguayan Guarani,6870.805531333221,0.0001455433421073,2022-08-28
96,ETB,Ethiopian Birr,52.22156022755856,0.0191491789146559,2022-08-28
97,NAD,Namibian Dollar,16.827665767063202,0.059425948544646,2022-08-28
98,PGK,Papua New Guinean Kina,3.502920053883768,0.2854761126767015,2022-08-28
99,SDG,Sudanese Pound,563.4160953693976,0.0017748871716992,2022-08-28
100,MOP,Macau Pataca,8.054409888702985,0.1241555885307733,2022-08-28
101,BMD,Bermudian Dollar,0.9965737302991436,1.0034380493852952,2022-08-28
102,NIO,Nicaraguan Cordoba,35.944770022954685,0.0278204589808584,2022-08-28
103,BAM,Bosnian Convertible Mark,1.95583,0.5112918811962185,2022-08-28
104,KZT,Kazakhstani Tenge,472.0896742713493,0.0021182416275964,2022-08-28
105,PAB,Panamanian Balboa,0.9965737302991436,1.0034380493852952,2022-08-28
106,GYD,Guyanese Dollar,209.2671817237756,0.0047785801469814,2022-08-28
107,YER,Yemeni Rial,249.3724032641496,0.0040100668193855,2022-08-28
108,MGA,Malagasy Ariary,4103.987680192281,0.0002436654488088,2022-08-28
109,KYD,Caymanian Dollar,0.8171948051904598,1.2236984298583915,2022-08-28
110,MZN,Mozambican Metical,63.471896936749495,0.0157550041555637,2022-08-28
111,RSD,Serbian Dinar,117.3129245120881,0.0085242099637278,2022-08-28
112,SCR,Seychellois Rupee,14.311071058161348,0.0698759719615617,2022-08-28
113,AMD,Armenian Dram,401.30991215940105,0.0024918397719585,2022-08-28
114,AZN,Azerbaijan Manat,1.694409606754928,0.5901760684154547,2022-08-28
115,SBD,Solomon Islander Dollar,8.215760151569173,0.1217172825826718,2022-08-28
116,SLL,Sierra Leonean Leone,14015.948954793825,7.13472918048e-05,2022-08-28
117,TOP,Tongan Pa'anga,2.331174076935005,0.4289683940355007,2022-08-28
118,BZD,Belizean Dollar,2.0084121753690662,0.497905764695058,2022-08-28
119,GMD,Gambian Dalasi,54.113413257587325,0.0184797065976944,2022-08-28
120,MWK,Malawian Kwacha,1014.5690992066492,0.0009856401114344,2022-08-28
121,BIF,Burundian Franc,2034.5172266821896,0.0004915170964812,2022-08-28
122,HTG,Haitian Gourde,120.08886733311564,0.0083271665576301,2022-08-28
123,SOS,Somali Shilling,568.5090626460444,0.0017589869110364,2022-08-28
124,GNF,Guinean Franc,8598.662763613016,0.0001162971531145,2022-08-28
125,MNT,Mongolian Tughrik,3191.831749291451,0.0003132997220865,2022-08-28
126,MVR,Maldivian Rufiyaa,15.615047587973,0.0640407910617076,2022-08-28
127,CDF,Congolese Franc,1992.2931809685767,0.0005019341578601,2022-08-28
128,STN,Sao Tomean Dobra,24.514271529488216,0.0407925643965026,2022-08-28
129,TJS,Tajikistani Somoni,10.146456488583818,0.0985565750097228,2022-08-28
130,KPW,North Korean Won,896.916357262039,0.0011149311659925,2022-08-28
131,KGS,Kyrgyzstani Som,80.40735922446733,0.0124366725837665,2022-08-28
132,LRD,Liberian Dollar,153.25136349589494,0.0065252274249865,2022-08-28
133,LSL,Basotho Loti,16.827665767063202,0.059425948544646,2022-08-28
134,MMK,Burmese Kyat,2088.602472436307,0.0004787890530616,2022-08-28
135,GIP,Gibraltar Pound,0.8487201985434245,1.1782446107871618,2022-08-28
136,XPT,Platinum Ounce,0.0011508202785237,868.9454110790919,2022-08-28
137,MDL,Moldovan Leu,19.24679948162843,0.0519566903034723,2022-08-28
138,CUP,Cuban Peso,23.83334046178568,0.0419580294085672,2022-08-28
139,KHR,Cambodian Riel,4085.363817075028,0.0002447762414256,2022-08-28
140,MKD,Macedonian Denar,60.953530105735325,0.0164059406939239,2022-08-28
141,VUV,Ni-Vanuatu Vatu,116.40904751667225,0.0085903975793357,2022-08-28
142,ANG,Dutch Guilder,1.781176897703791,0.5614265496532954,2022-08-28
143,MRU,Mauritanian Ouguiya,37.62073674784566,0.0265810849665846,2022-08-28
144,SZL,Swazi Lilangeni,16.827665767063202,0.059425948544646,2022-08-28
145,CVE,Cape Verdean Escudo,110.27,0.0090686496780629,2022-08-28
146,SRD,Surinamese Dollar,24.530185543934284,0.0407661001262697,2022-08-28
147,SVC,Salvadoran Colon,8.720020140117507,0.1146786342154623,2022-08-28
148,XPD,Palladium Ounce,0.0004714782886902,2120.9884399513658,2022-08-28
149,BSD,Bahamian Dollar,0.9965737302991436,1.0034380493852952,2022-08-28
150,XDR,IMF Special Drawing Rights,0.7628018188549929,1.3109564965393692,2022-08-28
151,RWF,Rwandan Franc,1028.4859668898237,0.0009723030086876,2022-08-28
152,AWG,Aruban or Dutch Guilder,1.7838669772354672,0.5605799158577068,2022-08-28
153,BTN,Bhutanese Ngultrum,79.7182352948617,0.0125441813444715,2022-08-28
154,DJF,Djiboutian Franc,177.38989847008528,0.0056372995792014,2022-08-28
155,KMF,Comorian Franc,491.96775,0.0020326535631654,2022-08-28
156,ERN,Eritrean Nakfa,14.948605954487157,0.0668958699590196,2022-08-28
157,FKP,Falkland Island Pound,0.8487201985434245,1.1782446107871618,2022-08-28
158,SHP,Saint Helenian Pound,0.8487201985434245,1.1782446107871618,2022-08-28
159,SPL,Seborgan Luigino,0.1660956210521414,6.020628320394285,2022-08-28
160,WST,Samoan Tala,2.6294704758593417,0.3803047074233409,2022-08-28
161,JEP,Jersey Pound,0.8487201985434245,1.1782446107871618,2022-08-28
162,TMT,Turkmenistani Manat,3.4877341548433423,0.2867191005975387,2022-08-28
163,GGP,Guernsey Pound,0.8487201985434245,1.1782446107871618,2022-08-28
164,IMP,Isle of Man Pound,0.8487201985434245,1.1782446107871618,2022-08-28
165,TVD,Tuvaluan Dollar,1.4440358596228635,0.692503578312223,2022-08-28
166,ZMW,Zambian Kwacha,16.16473699490687,0.0618630541477462,2022-08-28
167,ADA,Cardano,2.240044162030034,0.446419770177099,2022-08-28
168,BCH,Bitcoin Cash,0.0084627356343577,118.1650997037071,2022-08-28
169,BTC,Bitcoin,4.9891780224e-05,20043.381805751134,2022-08-28
170,CLF,CLF,0.0379505124173643,26.350105342515672,2022-08-28
171,CNH,Chinese Yuan Renminbi Offshore,6.873864215963663,0.1454785792360618,2022-08-28
172,DOGE,Dogecoin,15.72572622947244,0.0635900679820971,2022-08-28
173,DOT,Polkadot,0.1407251042684099,7.106052649232115,2022-08-28
174,ETH,Ethereum,0.0006704519377624,1491.5312249486933,2022-08-28
175,LINK,Chainlink,0.1519684787647258,6.580311970801374,2022-08-28
176,LTC,Litecoin,0.017961884137328,55.67344674726066,2022-08-28
177,LUNA,Terra,7.04273163917925e+40,1.4199035988208385e-41,2022-08-28
178,MXV,MXV,2.8413503388901824,0.3519453361005089,2022-08-28
179,SLE,SLE,14.015948954793824,0.0713472918048815,2022-08-28
180,UNI,Uniswap,16.633629088258083,0.0601191715105583,2022-08-28
181,VED,VED,7.788947463456094,0.1283870516127839,2022-08-28
182,XBT,XBT,4.9891780224e-05,20043.381805751134,2022-08-28
